DKProTCInstanceID	nrOfSpellingMistakes	outcome
1	0.069959	1
2	0.172414	0
3	0.16	0
4	0.040486	0
5	0.074286	3
6	0.088083	1
7	0.103139	3
8	0.073469	3
9	0.042735	3
10	0.052174	1
11	0.101322	4
12	0.109434	3
13	0.096	5
14	0.12	3
15	0.134694	4
16	0.115556	3
17	0.061818	4
18	0.088496	3
19	0.070485	3
20	0.089606	4
21	0.099237	5
22	0.085586	4
23	0.072	3
24	0.13986	2
25	0.082677	4
26	0.079681	4
27	0.068	1
28	1	1
29	0.085427	3
30	0.064189	3
31	0.073394	4
32	0.098639	5
33	0.091703	4
34	0.094118	5
35	0.099291	2
36	0.118519	3
37	0.129187	2
38	0.071429	4
39	0.097778	4
40	0.093525	3
41	0.081395	0
42	0.130112	3
43	0.060976	2
44	0.089606	4
45	0.070513	2
46	0.091241	4
47	0.060606	2
48	0.104377	4
49	0.07837	3
50	0.069853	3
51	0.083601	3
52	0.107692	3
53	0.077966	4
54	0.12963	3
55	0.106557	2
56	0.112903	2
57	0.140426	5
58	0.068273	3
59	0.051282	3
60	0.181818	0
61	0.073276	4
62	0.079755	2
63	0.1	3
64	0.090909	4
65	0.065517	4
66	0.123153	4
67	1	0
68	0.082707	3
69	0.049822	4
70	0.12013	3
71	0.059925	5
72	0.056	2
73	0.068966	4
74	0.084507	2
75	1	0
76	0.073529	3
77	0.100806	4
78	0.07971	3
79	0.064378	4
80	0.111675	1
81	0.068441	5
82	0.117949	2
83	0.077869	3
84	0.086538	3
85	0.10396	4
86	0.102222	4
87	0.116105	4
88	0.102222	4
89	0.106977	2
90	0.095833	3
91	0.213592	2
92	0.106145	2
93	0.105991	3
94	0.124528	2
95	0.121673	3
96	0.070866	5
97	0.075269	4
98	0.0553	2
99	0.086957	4
100	0.110132	3
101	0.049618	4
102	0.074499	5
103	0.085938	5
104	0.089744	3
105	0.092827	4
106	0.055794	4
107	0.086207	3
108	0.091667	1
109	0.063745	3
110	0.078853	3
111	0.105042	4
112	0.067511	2
113	0.067616	4
114	0.105042	3
115	0.080851	3
116	0.085938	4
117	0.092308	2
118	0.072289	2
119	0.833333	0
120	0.129771	2
121	0.068376	4
122	0.088235	4
123	0.109091	3
124	0.090909	2
125	0.076923	3
126	0.15678	3
127	0.090535	4
128	0.094118	4
129	0.097473	4
130	0.07027	3
131	0.095808	1
132	0.099138	2
133	0.067797	1
134	0.063091	5
135	0.08547	3
136	0.070234	5
137	0.076923	3
138	0.090186	4
139	0.067961	4
140	0.105769	1
141	0.106383	3
142	0.140969	2
143	0.106145	3
144	0.097938	4
145	0.100977	4
146	0.150602	2
147	0.054902	3
148	0.088652	4
149	0.139535	2
150	0.065476	2
151	0.109966	2
152	0.116279	3
153	0.111554	5
154	0.09507	3
155	0.121849	1
156	0.112	2
157	0.121495	0
158	0.117155	2
159	0.1	4
160	0.063291	2
161	0.080508	3
162	0.107843	4
163	0.13125	2
164	0.083067	4
165	0.069853	5
166	0.055921	5
167	0.066667	5
168	0.108333	4
169	0.081967	5
170	0.092742	4
171	0.069869	3
172	0.062201	0
173	0.090909	3
174	0.113095	2
175	0.081081	2
176	0.054054	3
177	0.095694	2
178	0.107527	4
179	0.117284	3
180	0.064935	3
181	0.104651	4
182	1	1
183	0.065574	1
184	0.153005	1
185	0.128713	1
186	0.125	2
187	0.066372	3
188	0.102128	3
189	0.086022	1
190	0.103448	1
191	0.068783	3
192	0.068966	3
193	0.112403	3
194	0.090909	3
195	0.129534	4
196	0.114286	2
197	0.111111	4
198	0.086957	4
199	0.119342	3
200	0.126214	2
201	0.109489	3
202	0.099237	3
203	0.130719	3
204	0.090909	2
205	0.166667	2
206	0.122995	3
207	0.094891	2
208	0.137931	2
209	0.094828	2
210	0.185022	2
211	0.07113	4
212	0.125786	2
213	0.081633	1
214	0.12844	1
215	0.069149	2
216	0.065217	1
217	0.044843	3
218	0.013699	3
219	0.1	0
220	0.09375	4
221	0.062016	1
222	0.083871	2
223	0.067568	4
224	0.059701	1
225	0.048913	3
226	0.067227	3
227	0.104167	2
228	0.079096	3
229	0.070513	2
230	0.040698	4
231	0.082707	3
232	0.075862	1
233	0.080292	3
234	0.081395	3
235	0.065574	2
236	0.049645	2
237	0.12037	2
238	0.101911	2
239	0.059524	2
240	0.088235	2
241	0.119266	2
242	1	0
243	0.098361	2
244	0.056818	4
245	0.050847	3
246	0.084746	2
247	0.066351	5
248	0.106796	1
249	0.076923	3
250	0.110236	1
251	0.031646	2
252	0.065359	3
253	0.114943	3
254	0.068966	1
255	0.078571	2
256	0.083333	3
257	0.08982	2
258	0.089286	2
259	0.068323	3
260	0.064516	2
261	0.046667	2
262	0.071429	3
263	0.088	3
264	0.075472	3
265	0.083721	3
266	0.080537	2
267	0.076923	5
268	0.074468	2
269	0.051429	2
270	0.078341	2
271	0.044534	4
272	0.078261	2
273	0.085271	3
274	0.084507	4
275	0.127273	2
276	0.071006	3
277	0.112676	2
278	0.086957	2
279	0.077419	3
280	0.091667	1
281	0.052941	2
282	0.080925	5
283	0.102564	2
284	0.071942	5
285	0.051852	1
286	0.096491	1
287	1	0
288	0.092437	2
289	0.039301	4
290	0.06135	3
291	0.057377	1
292	0.082707	4
293	0.14876	1
294	0.026144	4
295	0.056338	4
296	0.097015	1
297	0.064748	3
298	0.082803	3
299	0.086705	4
300	0.079268	4
301	0.1	3
302	0.126761	1
303	0.042654	2
304	0.11828	1
305	1	0
306	0.130081	1
307	0.094118	4
308	0.079755	2
309	0.061538	5
310	0.056075	3
311	0.072	1
312	0.08427	4
313	0.022901	2
314	0.066038	1
315	0.062857	5
316	0.082927	5
317	0.068966	2
318	0.0625	3
319	0.105691	3
320	0.068966	4
321	0.144144	2
322	0.030075	4
323	0.060773	2
324	0.053892	2
325	0.105882	3
326	0.054054	5
327	0.07971	3
328	0.094488	4
329	0.083832	3
330	0.142857	3
331	0.075188	3
332	0.07767	3
333	1	0
334	0.033557	3
335	0.071895	2
336	0.051724	3
337	0.063063	2
338	0.071429	2
339	0.106195	2
340	0.073864	4
341	0.07732	3
342	0.060403	4
343	0.060606	3
344	0.094488	3
345	0.069182	3
346	0.107692	1
347	0.051136	3
348	0.051282	2
349	0.06962	2
350	0.064103	4
351	0.041916	3
352	0.073913	4
353	0.098958	2
354	0.115646	3
355	0.12	1
356	0.11875	2
357	0.072368	4
358	0.1	1
359	0.067164	2
360	0.08805	2
361	0.062176	4
362	0.104167	1
363	0.08209	2
364	0.109929	2
365	0.085106	2
366	0.064286	3
367	0.061453	4
368	0.096234	2
369	0.077465	1
370	0.04918	1
371	0.045752	2
372	0.065868	4
373	0.087248	3
374	0.065574	3
375	0.067073	3
376	0.087591	2
377	0.053763	2
378	0.073643	5
379	0.076023	5
380	0.05814	5
381	0.05814	4
382	0.048649	4
383	0.081761	3
384	0.07438	2
385	0.066265	4
386	0.086957	1
387	0.075	3
388	0.086331	2
389	0.126984	3
390	0.058252	2
391	0.113043	2
392	0.106667	2
393	0.036496	3
394	0.043689	4
395	0.07772	3
396	1	0
397	0.060811	1
398	0.103448	2
399	0.15493	1
400	0.067708	2
401	0.069869	4
402	1	0
403	0.097902	2
404	0.070588	1
405	0.090226	1
406	1	0
407	0.081761	3
408	0.102857	3
409	0.117073	1
410	0.039326	2
411	0.074766	3
412	0.075758	3
413	0.097297	4
414	0.081871	1
415	0.151515	1
416	0.109705	1
417	0.087432	3
418	0.010204	2
419	0.040984	3
420	0	0
421	1	0
422	0.057851	1
423	0.052632	3
424	0.107383	4
425	0.105634	1
426	0.047297	2
427	0.166667	1
428	0.076923	2
429	0.10219	1
430	0.102941	3
431	0.110599	2
432	0.071795	3
433	0.131313	1
434	0.121622	4
435	0.099567	2
436	0.073733	3
437	0.084	3
438	0.079861	2
439	0.059574	3
440	0.092486	3
441	0.04	3
442	0.07451	2
443	0.107143	4
444	0.102459	4
445	0.089494	4
446	0.097458	5
447	0.086331	3
448	0.09434	1
449	0.136612	4
450	0.108303	2
451	0.081967	3
452	0.097143	3
453	0.088	3
454	0.130682	2
455	0.095023	3
456	0.0875	2
457	0.073684	2
458	0.111538	3
459	0.055319	2
460	0.030303	0
461	0.094406	4
462	0.045283	4
463	0.062257	4
464	0.069869	1
465	0.085271	3
466	0.07451	4
467	0.124402	1
468	0.089623	3
469	0.015038	1
470	0.040486	1
471	0.142857	2
472	0.07362	3
473	1	0
474	0.080717	3
475	0.102564	4
476	0.07438	4
477	0.097046	3
478	0.085202	2
479	0.041494	1
480	0.072034	4
481	0.097561	3
482	0.09589	2
483	0.084806	3
484	0.099602	4
485	0.091371	1
486	0.081851	4
487	0.097938	2
488	0.090909	3
489	0.115741	3
490	0.051793	3
491	0.098522	3
492	0.124	3
493	0.03207	3
494	0.032609	3
495	0.104478	5
496	0.07265	5
497	0.101322	2
498	0.11165	4
499	0.11284	4
500	0.1	4
501	0.099602	3
502	0.120192	3
503	0.108	5
504	0.108614	3
505	0.096774	4
506	0.068548	3
507	0.122905	4
508	0.074803	5
509	0.099359	3
510	0.03271	3
511	0.125899	3
512	0.073684	3
513	0.081761	2
514	0.134783	3
515	0.116592	2
516	0.130252	3
517	0.105263	1
518	0.063291	4
519	0.082734	3
520	0.046218	4
521	0.087866	4
522	0.095477	2
523	0.07451	3
524	0.09434	4
525	0.119565	4
526	0.062016	1
527	0.095041	3
528	0.076271	5
529	0.068536	3
530	0.167464	3
531	0.122807	3
532	0.101961	5
533	0.120482	1
534	0.098901	1
535	0.058319	4
536	0.093168	1
537	0.067308	2
538	0.088398	4
539	0.072874	4
540	0.075314	2
541	0.078947	4
542	0.08011	4
543	0.065574	2
544	0.110294	2
545	0.081897	3
546	0.082397	4
547	0.083333	4
548	0.132743	2
549	0.08365	4
550	0.073077	2
551	0.089888	4
552	0.106742	4
553	0.100437	3
554	0.06867	4
555	0.068085	3
556	0.06087	3
557	0.064639	4
558	0.069364	4
559	0.098485	3
560	0.064171	1
561	0.105556	3
562	0.106557	3
563	0.089506	3
564	0.105932	4
565	0.090278	4
566	0.131818	3
567	0.084746	3
568	0.111111	2
569	0.114155	2
570	0.114035	3
571	0.088235	3
572	0.12987	4
573	0.091912	3
574	0.091837	3
575	0.121359	3
576	0.069106	3
577	0.113043	2
578	0.079812	2
579	0.161538	2
580	0.046414	3
581	0.076923	3
582	0.105263	3
583	0.112	1
584	0.12037	1
585	0.093333	3
586	0.107692	1
587	0.071429	2
588	1	0
589	0.101695	3
590	0.123967	1
591	0.092105	2
592	0.10101	1
593	0.092486	1
594	0.090909	2
595	0.076923	1
596	0.06015	3
597	0.115646	2
598	0.106952	5
599	0.104938	2
600	0.061453	3
601	0.10219	2
602	0.066667	2
603	0.141304	1
604	0.141732	2
605	0.094891	1
606	0.059701	0
607	0.077465	3
608	0.109091	2
609	0.230769	1
610	0.093458	2
611	0.10596	2
612	0.115385	2
613	0.065789	3
614	0.117117	3
615	0.092105	2
616	0.067265	3
617	0.08871	2
618	0.086667	5
619	0.117647	1
620	0.063636	2
621	0.114754	3
622	0.10687	1
623	0.07362	2
624	0.110169	1
625	0.105691	2
626	0.082645	1
627	0.077465	3
628	0.101449	4
629	0.106557	2
630	0.076923	2
631	0.145161	2
632	0.065868	4
633	0.096296	2
634	0.107143	1
635	0.097561	2
636	0.090909	1
637	0.04065	1
638	0.047619	3
639	0.096045	5
640	0.08871	4
641	0.103448	2
642	0.102564	1
643	0.120419	3
644	0.076923	1
645	0.08642	2
646	0.069959	1
647	0.098592	1
648	0.092593	4
649	0.08134	5
650	0.063927	3
651	0.055046	5
652	0.104348	2
653	0.065359	4
654	0.10101	2
655	0.111111	1
656	0.113636	1
657	0.035088	2
658	0.130081	2
659	0.12	2
660	0.065327	2
661	0.064865	2
662	0.099237	2
663	0.067568	4
664	0.102564	1
665	0.097561	1
666	0.094595	3
667	0.09434	0
668	0.086957	1
669	0.142857	1
670	0.124324	1
671	0.121795	1
672	0.043478	1
673	0.080247	3
674	0.099338	2
675	0.078125	1
676	0.135514	1
677	0.124031	1
678	0.07874	2
679	0.094595	2
680	0.090278	2
681	0.109091	1
682	0.084848	2
683	0.06087	4
684	0.109375	2
685	0.09697	3
686	0.144737	1
687	0.113333	5
688	0.112069	1
689	0.076923	1
690	0.096591	5
691	0.118644	1
692	0.091398	2
693	0.084416	2
694	0.099099	1
695	0.041667	1
696	0.073394	3
697	0.076531	5
698	0.133333	2
699	0.112069	1
700	0.12037	1
701	0.107914	3
702	0.091463	4
703	0.078947	5
704	0.115942	2
705	0.071429	2
706	1	0
707	0.147059	1
708	0.101911	1
709	0.044118	3
710	0.0625	1
711	0.135593	2
712	0.094675	2
713	0.111111	2
714	0.061069	2
715	0.109244	1
716	0.060345	2
717	0.097561	2
718	0.076923	4
719	0.104167	4
720	0.121212	1
721	1	0
722	0.057692	1
723	0.089431	1
724	0.094595	1
725	0.113636	2
726	0.097902	2
727	0.056995	2
728	0.090909	1
729	0.139344	1
730	0.101563	2
731	0.095238	1
732	0.065217	1
733	0.11194	2
734	1	0
735	0.083333	1
736	0	0
737	0.096296	2
