DKProTCInstanceID	FrequencyOfBekommenGruppe	FrequencyOfPassiveSentences	FrequencyOfPassiveWithAdjective	FrequencyOfPassiveWithImpersonalPronoun	FrequencyOfPassiveWithSichLassen	FrequencyOfPassiveWithZu	FrequencyOfTypicalPassive	NrofChars	NrofSentences	NrofTokens	NrofTokensPerSentence	TokLenRatio	avgNumCharsSent	avgNumCharsToken	frequencyOfAllSuffixes	frequencyOfHEIT	frequencyOfIE	frequencyOfKEIT	frequencyOfMENT	frequencyOfMUS	frequencyOfNIS	frequencyOfPrepositionalPhrase	frequencyOfSCHAFT	frequencyOfTION	frequencyOfTUM	frequencyOfT�u164T	frequencyOfUNG	nrOfSpellingMistakes	standardDevCharsPerSentence	standardDevCharsPerToken	standardDevTokensPerSentence	outcome
1	0	0.5	0.071429	0.142857	0	0.142857	0.142857	1310	14	243	17.357143	1	92.642857	4.697368	0.314286	0	0	0	0	0	0	0.064	0	0	0	0	0.314286	0.065844	48.270972	3.068029	9.130851	1
2	0	0	0	0	0	0	0	170	3	29	9.666667	1	56	5.538462	0.333333	0	0	0	0	0	0	0	0	0.166667	0	0	0.166667	0.172414	25.508169	3.914773	4.921608	0
3	0	0.5	0	0	0	0.5	0	130	2	25	12.5	1	64.5	4.695652	0	0	0	0	0	0	0	0.066667	0	0	0	0	0	0.16	22.5	2.773082	4.5	0
4	0.083333	1.25	0	0.833333	0	0.25	0.083333	1350	12	247	20.583333	1	111.583333	4.778723	0.454545	0	0.030303	0.030303	0	0	0	0.036496	0	0	0	0	0.393939	0.044534	54.073189	2.777182	10.323584	0
5	0.125	0.375	0	0	0	0	0.25	1102	8	175	21.875	1	136.875	5.646707	0.289474	0	0	0.026316	0	0	0.026316	0.063158	0	0	0	0	0.236842	0.074286	41.989396	3.982112	7.817249	3
6	0	0.5	0	0.25	0	0.125	0.125	1134	8	193	24.125	1	140.875	5.177419	0.236842	0	0	0.026316	0.026316	0	0.026316	0.050505	0	0.026316	0	0	0.131579	0.088083	56.134743	3.185269	9.075207	1
7	0	0.307692	0	0.076923	0	0.076923	0.153846	1371	13	223	17.153846	1	104.538462	5.504762	0.173913	0.021739	0	0.065217	0	0	0	0.063492	0	0.043478	0	0	0.043478	0.107623	56.709266	3.250271	8.786757	3
8	0	0.5	0	0.0625	0	0.125	0.3125	1512	16	245	15.3125	1	93.5625	5.628821	0.404255	0.021277	0.021277	0	0.021277	0	0	0.101563	0	0.042553	0	0	0.297872	0.069388	39.558452	3.979999	5.609353	3
9	0	0.5625	0	0.3125	0	0	0.25	1421	16	243	15.1875	1	87.875	5.302222	0.173913	0	0	0	0	0	0	0.097744	0	0	0	0	0.173913	0.082305	35.110317	3.632843	6.054118	3
10	0	0.166667	0	0.166667	0	0	0	648	12	115	9.583333	1	53.083333	5.271845	0.47619	0	0.047619	0	0	0	0	0.0625	0	0.142857	0	0	0.285714	0.052174	24.157326	3.289271	3.751851	1
11	0	0.5	0.083333	0	0	0.083333	0.333333	1460	12	227	18.916667	1	120.75	5.8	0.155556	0	0	0	0	0	0	0.096	0	0.022222	0	0	0.133333	0.105727	52.200136	3.903725	7.123416	4
12	0	0.352941	0.058824	0	0	0.058824	0.235294	1638	17	265	15.588235	1	95.411765	5.678862	0.275862	0	0	0.017241	0.017241	0	0	0.054795	0	0.017241	0	0	0.224138	0.109434	28.100783	3.63454	4.51219	3
13	0	0.8	0.1	0.1	0	0.1	0.5	1567	10	250	25	1	155.8	5.583333	0.211538	0.019231	0	0.057692	0	0	0	0.079365	0	0	0	0	0.134615	0.1	72.193906	4.066291	11.71324	5
14	0	1.666667	0	0.666667	0	0.333333	0.666667	1086	3	175	58.333333	1	361.333333	5.48538	0.235294	0	0	0	0	0	0	0.073171	0.058824	0.029412	0	0	0.147059	0.12	250.515912	3.593947	41.668	3
15	0.166667	0.833333	0	0.166667	0	0.166667	0.333333	1522	6	245	40.833333	1	252.833333	5.445378	0.367347	0	0	0.061224	0	0	0	0.076271	0.020408	0.020408	0	0	0.265306	0.130612	163.090381	3.675258	27.303337	4
16	0	0.666667	0	0	0	0.333333	0.333333	1302	6	225	37.5	1	216.166667	5.027397	0.305556	0	0	0	0	0	0	0.08	0	0.027778	0	0	0.277778	0.115556	179.045075	3.017329	31.271659	3
17	0.2	0.866667	0	0.4	0	0.2	0.066667	1678	15	275	18.333333	1	110.933333	5.480769	0.354167	0.0625	0	0.083333	0.020833	0	0	0.094891	0	0	0	0	0.1875	0.061818	26.080559	3.73595	4.315347	4
18	0	0.285714	0	0	0	0	0.285714	1046	7	167	23.857143	1	148.571429	5.63522	0.25	0	0	0	0	0	0	0.118421	0	0	0	0	0.25	0.113772	96.884109	4.05376	16.452777	3
19	0	0.8	0	0.2	0	0.5	0.1	1280	10	227	22.7	1	127.1	4.926267	0.238095	0	0.02381	0.02381	0	0	0.02381	0.091667	0	0.02381	0	0	0.142857	0.07489	45.284545	2.899881	8.185964	3
20	0	0.4375	0.125	0	0	0.125	0.1875	1558	16	279	17.4375	1	96.4375	4.996169	0.108696	0.021739	0	0	0	0	0	0.059603	0	0	0	0	0.086957	0.086022	61.1739	3.208583	11.258157	4
21	0	0.916667	0.166667	0	0.083333	0.416667	0.25	1606	12	262	21.833333	1	132.916667	5.452	0.295455	0.136364	0	0.022727	0	0	0.022727	0.042254	0	0	0	0	0.113636	0.099237	48.999079	3.65728	8.620067	5
22	0.090909	0.727273	0	0.181818	0	0.272727	0.181818	1327	11	222	20.181818	1	119.727273	5.238095	0.317073	0	0	0.02439	0	0	0.02439	0.088496	0	0	0	0	0.268293	0.085586	65.270195	3.665863	9.916178	4
23	0	0	0	0	0	0	0	856	5	125	25	1	170.6	6.108333	0.238095	0.047619	0	0	0	0	0	0.033333	0	0	0	0	0.190476	0.08	148.719333	3.478016	20.435264	3
24	0	1.5	0	0.25	0	0.5	0.75	856	4	143	35.75	1	213.25	5.255474	0.36	0.04	0	0	0	0	0	0.071429	0	0	0	0	0.32	0.132867	120.518411	3.357156	20.178887	2
